"","longitude","latitude","vsn","address"
"84",-87.6116431,41.8920031,"094","Ohio St & Grand Ave Chicago IL"
"85",-87.539374,41.666078,"095","Ave O & 126th Chicago IL"
"86",-87.536509,41.713867,"096","Ave L & 100th St Chicago IL"
"87",-87.72242,41.764122,"097","Pulaski Rd & 71st St Chicago IL"
"88",-87.645248,41.954825,"098","Lake Shore Drive & Irving Park Rd Chicago IL"
"89",-87.559113,41.65849,"099","Torrence Ave & Brainard Ave Chicago IL"
"90",-87.611081,41.685445,"09A","Cottage Grove Ave & 115th St Chicago IL"
"91",-87.62775,41.88076,"09B","State St & Monroe St Chicago IL"
"92",-87.627864,41.884688,"09C","State St & Randolph St Chicago IL"
"93",-87.665685,41.839066,"09D","Ashland Ave & 31st Pl Chicago IL"
"94",-87.624577,41.884607,"0A0","Michigan Ave & Randolph St Chicago IL"
"95",-87.643099,41.714494,"0A1","Halsted St & 99th St Chicago IL"
"96",-87.688326,41.947066,"0A2","Western Ave & Addison St Chicago IL"
"97",-87.76257,41.96759,"0A3","Long Ave & Lawrence Ave Chicago IL"
"98",-87.688069,41.943263,"0A4","Western Ave & Roscoe Ave Chicago IL"
"99",-87.666748,41.883541,"0A5","Ashland Ave & Washington Chicago IL"
"100",-87.63387,41.88326,"0A6","N Wells St & W Washington St Chicago IL "
"101",-87.636955,41.88449,"0A7","Upper Wacker Dr & Randolph St Chicago IL"
"102",-87.587134,41.789737,"0A9","UChicago, Shapiro Hall Chicago IL"
"103",-87.62969,41.88575,"0AA","Dearborn St & Lake St Chicago IL"
"104",-87.631533,41.92617,"0AC","Lake Shore Drive & Fullerton Ave Chicago IL"
"105",84.3963,33.7756,"0AD","Georgia Tech"
"106",84.3963,33.7756,"0C1","Georgia Tech"
"107",-87.600008,41.792543,"890","UChicago, Regenstine Chicago IL"
